x (m),T (C)
0.000000,43.886715
0.000020,43.886715
0.000060,43.886279
0.000100,43.885407
0.000140,43.884100
0.000180,43.882357
0.000220,43.880178
0.000260,43.877564
0.000300,43.874514
0.000340,43.871028
0.000380,43.867107
0.000420,43.862750
0.000460,43.857958
0.000500,43.852730
0.000540,43.847067
0.000580,43.840968
0.000620,43.834434
0.000660,43.827465
0.000700,43.820061
0.000740,43.812222
0.000780,43.803947
0.000820,43.795238
0.000860,43.786094
0.000900,43.776515
0.000940,43.766501
0.000980,43.756053
0.001020,43.745171
0.001060,43.733854
0.001100,43.722102
0.001140,43.709917
0.001180,43.697298
0.001220,43.684245
0.001260,43.670758
0.001300,43.656837
0.001340,43.642483
0.001380,43.627696
0.001420,43.612475
0.001460,43.596822
0.001500,43.580735
0.001540,43.564216
0.001580,43.547265
0.001620,43.529880
0.001660,43.512064
0.001700,43.493816
0.001740,43.475136
0.001780,43.456024
0.001820,43.436481
0.001860,43.416506
0.001900,43.396100
0.001940,43.375264
0.001980,43.353996
0.002020,43.332299
0.002060,43.310171
0.002100,43.287613
0.002140,43.264625
0.002180,43.241208
0.002220,43.217361
0.002260,43.193085
0.002300,43.168380
0.002340,43.143247
0.002380,43.117686
0.002420,43.091696
0.002460,43.065278
0.002500,43.038433
0.002540,43.011160
0.002580,42.983461
0.002620,42.955334
0.002660,42.926781
0.002700,42.897802
0.002740,42.868397
0.002780,42.838566
0.002820,42.808310
0.002860,42.777629
0.002900,42.746523
0.002940,42.714993
0.002980,42.683038
0.003020,42.650660
0.003060,42.617858
0.003100,42.584634
0.003140,42.550986
0.003180,42.516916
0.003220,42.482423
0.003260,42.447509
0.003300,42.412174
0.003340,42.376417
0.003380,42.340239
0.003420,42.303641
0.003460,42.266624
0.003500,42.229186
0.003540,42.191329
0.003580,42.153053
0.003620,42.114359
0.003660,42.075246
0.003700,42.035716
0.003740,41.995769
0.003780,41.955404
0.003820,41.914623
0.003860,41.873425
0.003900,41.831812
0.003940,41.789784
0.003980,41.747340
0.004020,41.704482
0.004060,41.661210
0.004100,41.617525
0.004140,41.573426
0.004180,41.528914
0.004220,41.483990
0.004260,41.438654
0.004300,41.392907
0.004340,41.346748
0.004380,41.300179
0.004420,41.253201
0.004460,41.205812
0.004500,41.158014
0.004540,41.109808
0.004580,41.061193
0.004620,41.012171
0.004660,40.962742
0.004700,40.912905
0.004740,40.862663
0.004780,40.812015
0.004820,40.760961
0.004860,40.709503
0.004900,40.657641
0.004940,40.605375
0.004980,40.552706
0.005020,40.499634
0.005060,40.446160
