x (m),T (C)
0.000000,200.000000
0.000020,200.000000
0.000060,200.000000
0.000100,200.000000
0.000140,200.000000
0.000180,200.000000
0.000220,200.000000
0.000260,200.000000
0.000300,200.000000
0.000340,200.000000
0.000380,200.000000
0.000420,200.000000
0.000460,200.000000
0.000500,200.000000
0.000540,200.000000
0.000580,200.000000
0.000620,200.000000
0.000660,200.000000
0.000700,200.000000
0.000740,200.000000
0.000780,200.000000
0.000820,200.000000
0.000860,200.000000
0.000900,200.000000
0.000940,200.000000
0.000980,200.000000
0.001020,200.000000
0.001060,200.000000
0.001100,200.000000
0.001140,200.000000
0.001180,200.000000
0.001220,200.000000
0.001260,200.000000
0.001300,200.000000
0.001340,200.000000
0.001380,200.000000
0.001420,200.000000
0.001460,200.000000
0.001500,200.000000
0.001540,200.000000
0.001580,200.000000
0.001620,200.000000
0.001660,200.000000
0.001700,200.000000
0.001740,200.000000
0.001780,200.000000
0.001820,200.000000
0.001860,200.000000
0.001900,200.000000
0.001940,200.000000
0.001980,200.000000
0.002020,200.000000
0.002060,200.000000
0.002100,200.000000
0.002140,200.000000
0.002180,200.000000
0.002220,200.000000
0.002260,200.000000
0.002300,200.000000
0.002340,200.000000
0.002380,200.000000
0.002420,200.000000
0.002460,200.000000
0.002500,200.000000
0.002540,200.000000
0.002580,200.000000
0.002620,200.000000
0.002660,200.000000
0.002700,200.000000
0.002740,200.000000
0.002780,200.000000
0.002820,200.000000
0.002860,200.000000
0.002900,200.000000
0.002940,200.000000
0.002980,200.000000
0.003020,200.000000
0.003060,200.000000
0.003100,200.000000
0.003140,200.000000
0.003180,200.000000
0.003220,200.000000
0.003260,200.000000
0.003300,200.000000
0.003340,200.000000
0.003380,200.000000
0.003420,200.000000
0.003460,200.000000
0.003500,200.000000
0.003540,200.000000
0.003580,200.000000
0.003620,200.000000
0.003660,200.000000
0.003700,200.000000
0.003740,200.000000
0.003780,200.000000
0.003820,200.000000
0.003860,200.000000
0.003900,200.000000
0.003940,200.000000
0.003980,200.000000
0.004020,200.000000
0.004060,200.000000
0.004100,200.000000
0.004140,200.000000
0.004180,200.000000
0.004220,200.000000
0.004260,200.000000
0.004300,200.000000
0.004340,200.000000
0.004380,200.000000
0.004420,200.000000
0.004460,200.000000
0.004500,200.000000
0.004540,200.000000
0.004580,200.000000
0.004620,200.000000
0.004660,200.000000
0.004700,200.000000
0.004740,200.000000
0.004780,200.000000
0.004820,200.000000
0.004860,200.000000
0.004900,200.000000
0.004940,200.000000
0.004980,200.000000
0.005020,200.000000
0.005060,200.000000
0.005100,200.000000
0.005140,200.000000
0.005180,200.000000
0.005220,200.000000
0.005260,200.000000
0.005300,200.000000
0.005340,200.000000
0.005380,200.000000
0.005420,200.000000
0.005460,200.000000
0.005500,200.000000
0.005540,200.000000
0.005580,200.000000
0.005620,200.000000
0.005660,200.000000
0.005700,200.000000
0.005740,200.000000
0.005780,200.000000
0.005820,200.000000
0.005860,200.000000
0.005900,200.000000
0.005940,200.000000
0.005980,200.000000
0.006020,200.000000
0.006060,200.000000
0.006100,200.000000
0.006140,200.000000
0.006180,200.000000
0.006220,200.000000
0.006260,200.000000
0.006300,200.000000
0.006340,200.000000
0.006380,200.000000
0.006420,200.000000
0.006460,200.000000
0.006500,200.000000
0.006540,200.000000
0.006580,200.000000
0.006620,200.000000
0.006660,200.000000
0.006700,200.000000
0.006740,200.000000
0.006780,200.000000
0.006820,200.000000
0.006860,200.000000
0.006900,200.000000
0.006940,200.000000
0.006980,200.000000
0.007020,200.000000
0.007060,200.000000
0.007100,200.000000
0.007140,200.000000
0.007180,200.000000
0.007220,200.000000
0.007260,200.000000
0.007300,200.000000
0.007340,200.000000
0.007380,200.000000
