x (m),T (C)
0.000000,13.591250
0.000020,13.591250
0.000060,13.591115
0.000100,13.590845
0.000140,13.590440
0.000180,13.589900
0.000220,13.589226
0.000260,13.588416
0.000300,13.587471
0.000340,13.586392
0.000380,13.585177
0.000420,13.583828
0.000460,13.582344
0.000500,13.580725
0.000540,13.578971
0.000580,13.577083
0.000620,13.575059
0.000660,13.572901
0.000700,13.570608
0.000740,13.568180
0.000780,13.565617
0.000820,13.562920
0.000860,13.560088
0.000900,13.557122
0.000940,13.554021
0.000980,13.550785
0.001020,13.547415
0.001060,13.543910
0.001100,13.540271
0.001140,13.536497
0.001180,13.532589
0.001220,13.528547
0.001260,13.524370
0.001300,13.520059
0.001340,13.515614
0.001380,13.511034
0.001420,13.506321
0.001460,13.501473
0.001500,13.496491
0.001540,13.491375
0.001580,13.486125
0.001620,13.480742
0.001660,13.475224
0.001700,13.469573
0.001740,13.463788
0.001780,13.457869
0.001820,13.451817
0.001860,13.445631
0.001900,13.439311
0.001940,13.432858
0.001980,13.426272
0.002020,13.419553
0.002060,13.412700
0.002100,13.405714
0.002140,13.398595
0.002180,13.391343
0.002220,13.383958
0.002260,13.376440
0.002300,13.368789
0.002340,13.361005
0.002380,13.353089
0.002420,13.345040
0.002460,13.336859
0.002500,13.328545
0.002540,13.320099
0.002580,13.311521
0.002620,13.302810
0.002660,13.293968
0.002700,13.284993
0.002740,13.275887
0.002780,13.266649
0.002820,13.257279
0.002860,13.247777
0.002900,13.238144
0.002940,13.228379
0.002980,13.218483
0.003020,13.208456
0.003060,13.198298
0.003100,13.188008
0.003140,13.177588
0.003180,13.167037
0.003220,13.156355
0.003260,13.145542
0.003300,13.134599
0.003340,13.123526
0.003380,13.112322
0.003420,13.100988
0.003460,13.089524
0.003500,13.077930
0.003540,13.066206
0.003580,13.054352
0.003620,13.042369
0.003660,13.030256
0.003700,13.018014
0.003740,13.005643
0.003780,12.993142
0.003820,12.980513
0.003860,12.967754
0.003900,12.954867
0.003940,12.941851
0.003980,12.928707
0.004020,12.915434
0.004060,12.902033
0.004100,12.888504
0.004140,12.874847
0.004180,12.861063
0.004220,12.847150
0.004260,12.833110
0.004300,12.818942
0.004340,12.804648
0.004380,12.790226
0.004420,12.775677
0.004460,12.761001
0.004500,12.746199
0.004540,12.731270
0.004580,12.716214
0.004620,12.701032
0.004660,12.685725
0.004700,12.670291
0.004740,12.654731
0.004780,12.639046
0.004820,12.623235
0.004860,12.607299
0.004900,12.591238
0.004940,12.575052
0.004980,12.558741
0.005020,12.542305
0.005060,12.525745
0.005100,12.509060
0.005140,12.492251
0.005180,12.475318
0.005220,12.458261
0.005260,12.441081
0.005300,12.423777
0.005340,12.406349
0.005380,12.388799
0.005420,12.371125
0.005460,12.353329
0.005500,12.335409
0.005540,12.317368
0.005580,12.299204
0.005620,12.280918
0.005660,12.262510
0.005700,12.243980
0.005740,12.225329
0.005780,12.206557
0.005820,12.187663
0.005860,12.168648
0.005900,12.149512
0.005940,12.130256
0.005980,12.110879
0.006020,12.091382
0.006060,12.071765
0.006100,12.052028
0.006140,12.032172
0.006180,12.012196
0.006220,11.992100
0.006260,11.971886
0.006300,11.951553
0.006340,11.931101
0.006380,11.910530
0.006420,11.889842
0.006460,11.869035
0.006500,11.848110
0.006540,11.827068
0.006580,11.805909
0.006620,11.784632
0.006660,11.763238
0.006700,11.741727
0.006740,11.720100
0.006780,11.698356
0.006820,11.676497
0.006860,11.654521
0.006900,11.632429
0.006940,11.610223
0.006980,11.587900
0.007020,11.565463
0.007060,11.542911
0.007100,11.520244
0.007140,11.497463
0.007180,11.474568
0.007220,11.451559
0.007260,11.428436
0.007300,11.405199
0.007340,11.381850
0.007380,11.358387
0.007420,11.334812
0.007460,11.311124
0.007500,11.287324
0.007540,11.263411
