x (m),T (C)
0.000000,4.209065
0.000020,4.209065
0.000060,4.209023
0.000100,4.208939
0.000140,4.208814
0.000180,4.208647
0.000220,4.208438
0.000260,4.208187
0.000300,4.207895
0.000340,4.207560
0.000380,4.207184
0.000420,4.206766
0.000460,4.206307
0.000500,4.205805
0.000540,4.205262
0.000580,4.204677
0.000620,4.204051
0.000660,4.203382
0.000700,4.202672
0.000740,4.201920
0.000780,4.201127
0.000820,4.200291
0.000860,4.199414
0.000900,4.198496
0.000940,4.197535
0.000980,4.196533
0.001020,4.195490
0.001060,4.194404
0.001100,4.193277
0.001140,4.192108
0.001180,4.190898
0.001220,4.189646
0.001260,4.188353
0.001300,4.187018
0.001340,4.185641
0.001380,4.184223
0.001420,4.182763
0.001460,4.181262
0.001500,4.179719
0.001540,4.178135
0.001580,4.176509
0.001620,4.174842
0.001660,4.173133
0.001700,4.171383
0.001740,4.169591
0.001780,4.167758
0.001820,4.165884
0.001860,4.163968
0.001900,4.162011
0.001940,4.160013
0.001980,4.157973
0.002020,4.155892
0.002060,4.153770
0.002100,4.151606
0.002140,4.149402
0.002180,4.147156
0.002220,4.144869
0.002260,4.142540
0.002300,4.140171
0.002340,4.137760
0.002380,4.135309
0.002420,4.132816
0.002460,4.130283
0.002500,4.127708
0.002540,4.125092
0.002580,4.122436
0.002620,4.119738
0.002660,4.117000
0.002700,4.114220
0.002740,4.111400
0.002780,4.108539
0.002820,4.105637
0.002860,4.102695
0.002900,4.099712
0.002940,4.096688
0.002980,4.093623
0.003020,4.090518
0.003060,4.087372
0.003100,4.084185
0.003140,4.080958
0.003180,4.077690
0.003220,4.074382
0.003260,4.071034
0.003300,4.067645
0.003340,4.064216
0.003380,4.060746
0.003420,4.057236
0.003460,4.053686
0.003500,4.050095
0.003540,4.046464
0.003580,4.042793
0.003620,4.039082
0.003660,4.035331
0.003700,4.031540
0.003740,4.027708
0.003780,4.023837
0.003820,4.019926
0.003860,4.015975
0.003900,4.011984
0.003940,4.007953
