x (m),T (C)
0.000000,78.860192
0.000020,78.860192
0.000060,78.859409
0.000100,78.857844
0.000140,78.855495
0.000180,78.852364
0.000220,78.848450
0.000260,78.843753
0.000300,78.838274
0.000340,78.832012
0.000380,78.824967
0.000420,78.817140
0.000460,78.808531
0.000500,78.799139
0.000540,78.788965
0.000580,78.778009
0.000620,78.766271
0.000660,78.753751
0.000700,78.740449
0.000740,78.726365
0.000780,78.711500
0.000820,78.695854
0.000860,78.679426
0.000900,78.662218
0.000940,78.644228
0.000980,78.625458
0.001020,78.605908
0.001060,78.585577
0.001100,78.564466
0.001140,78.542575
0.001180,78.519904
0.001220,78.496454
0.001260,78.472224
0.001300,78.447216
0.001340,78.421429
0.001380,78.394863
0.001420,78.367520
0.001460,78.339398
0.001500,78.310499
0.001540,78.280822
0.001580,78.250368
0.001620,78.219137
0.001660,78.187130
0.001700,78.154347
0.001740,78.120788
0.001780,78.086453
0.001820,78.051343
0.001860,78.015458
0.001900,77.978799
0.001940,77.941366
0.001980,77.903159
0.002020,77.864179
0.002060,77.824426
0.002100,77.783900
0.002140,77.742602
0.002180,77.700532
0.002220,77.657691
0.002260,77.614079
0.002300,77.569696
0.002340,77.524544
0.002380,77.478622
0.002420,77.431931
0.002460,77.384471
0.002500,77.336242
0.002540,77.287247
0.002580,77.237483
0.002620,77.186954
0.002660,77.135657
0.002700,77.083596
0.002740,77.030768
0.002780,76.977177
0.002820,76.922821
0.002860,76.867701
0.002900,76.811818
0.002940,76.755173
0.002980,76.697766
0.003020,76.639597
0.003060,76.580668
0.003100,76.520978
0.003140,76.460529
0.003180,76.399320
0.003220,76.337353
0.003260,76.274629
0.003300,76.211147
0.003340,76.146908
0.003380,76.081914
0.003420,76.016164
0.003460,75.949660
0.003500,75.882402
0.003540,75.814390
0.003580,75.745626
0.003620,75.676109
0.003660,75.605842
0.003700,75.534824
0.003740,75.463056
0.003780,75.390538
0.003820,75.317273
0.003860,75.243259
0.003900,75.168499
0.003940,75.092993
0.003980,75.016740
0.004020,74.939744
0.004060,74.862003
0.004100,74.783519
0.004140,74.704292
0.004180,74.624324
0.004220,74.543615
0.004260,74.462166
0.004300,74.379978
0.004340,74.297051
0.004380,74.213387
0.004420,74.128986
0.004460,74.043849
0.004500,73.957977
0.004540,73.871370
0.004580,73.784031
0.004620,73.695958
0.004660,73.607154
0.004700,73.517620
0.004740,73.427355
0.004780,73.336361
0.004820,73.244640
0.004860,73.152191
0.004900,73.059016
0.004940,72.965115
0.004980,72.870491
0.005020,72.775142
0.005060,72.679071
0.005100,72.582279
0.005140,72.484766
0.005180,72.386533
0.005220,72.287582
0.005260,72.187913
0.005300,72.087527
0.005340,71.986426
0.005380,71.884609
0.005420,71.782080
0.005460,71.678837
0.005500,71.574883
0.005540,71.470218
0.005580,71.364844
0.005620,71.258761
0.005660,71.151970
0.005700,71.044473
0.005740,70.936271
0.005780,70.827365
0.005820,70.717755
0.005860,70.607443
0.005900,70.496430
0.005940,70.384717
0.005980,70.272306
0.006020,70.159196
0.006060,70.045390
0.006100,69.930889
0.006140,69.815693
0.006180,69.699804
0.006220,69.583223
0.006260,69.465951
0.006300,69.347990
0.006340,69.229340
0.006380,69.110002
0.006420,68.989978
0.006460,68.869270
0.006500,68.747877
0.006540,68.625802
0.006580,68.503046
0.006620,68.379609
0.006660,68.255493
0.006700,68.130700
0.006740,68.005230
0.006780,67.879085
0.006820,67.752266
0.006860,67.624775
0.006900,67.496611
0.006940,67.367778
0.006980,67.238276
0.007020,67.108106
0.007060,66.977270
0.007100,66.845768
0.007140,66.713603
0.007180,66.580776
0.007220,66.447287
0.007260,66.313139
0.007300,66.178332
0.007340,66.042868
0.007380,65.906749
0.007420,65.769975
0.007460,65.632547
0.007500,65.494468
0.007540,65.355739
0.007580,65.216361
0.007620,65.076335
0.007660,64.935663
0.007700,64.794347
0.007740,64.652387
0.007780,64.509784
0.007820,64.366542
0.007860,64.222660
0.007900,64.078140
0.007940,63.932985
0.007980,63.787194
0.008020,63.640770
0.008060,63.493714
0.008100,63.346027
0.008140,63.197712
0.008180,63.048769
0.008220,62.899199
0.008260,62.749006
0.008300,62.598189
0.008340,62.446750
0.008380,62.294692
0.008420,62.142014
0.008460,61.988720
0.008500,61.834810
0.008540,61.680286
0.008580,61.525150
0.008620,61.369402
0.008660,61.213046
0.008700,61.056081
0.008740,60.898510
0.008780,60.740334
0.008820,60.581555
0.008860,60.422175
0.008900,60.262194
0.008940,60.101615
0.008980,59.940440
0.009020,59.778668
0.009060,59.616304
0.009100,59.453347
0.009140,59.289800
0.009180,59.125664
0.009220,58.960941
0.009260,58.795632
0.009300,58.629740
0.009340,58.463265
0.009380,58.296210
0.009420,58.128575
0.009460,57.960364
0.009500,57.791577
0.009540,57.622215
0.009580,57.452282
0.009620,57.281778
0.009660,57.110705
0.009700,56.939065
0.009740,56.766860
0.009780,56.594091
0.009820,56.420760
0.009860,56.246868
0.009900,56.072418
0.009940,55.897411
0.009980,55.721849
0.010020,55.545733
0.010060,55.369066
0.010100,55.191849
0.010140,55.014084
0.010180,54.835772
0.010220,54.656916
0.010260,54.477517
0.010300,54.297577
0.010340,54.117098
0.010380,53.936081
0.010420,53.754528
0.010460,53.572442
0.010500,53.389824
0.010540,53.206675
0.010580,53.022998
0.010620,52.838794
0.010660,52.654066
0.010700,52.468814
0.010740,52.283042
0.010780,52.096750
0.010820,51.909941
0.010860,51.722616
0.010900,51.534778
0.010940,51.346427
0.010980,51.157567
0.011020,50.968198
0.011060,50.778324
0.011100,50.587945
0.011140,50.397063
0.011180,50.205682
0.011220,50.013801
0.011260,49.821424
0.011300,49.628551
0.011340,49.435186
0.011380,49.241330
0.011420,49.046985
0.011460,48.852153
0.011500,48.656835
0.011540,48.461034
0.011580,48.264752
0.011620,48.067990
0.011660,47.870751
0.011700,47.673037
0.011740,47.474849
0.011780,47.276189
0.011820,47.077060
0.011860,46.877464
0.011900,46.677401
0.011940,46.476875
0.011980,46.275888
0.012020,46.074441
0.012060,45.872536
0.012100,45.670175
0.012140,45.467361
0.012180,45.264095
0.012220,45.060380
0.012260,44.856217
0.012300,44.651608
0.012340,44.446556
0.012380,44.241063
0.012420,44.035130
0.012460,43.828759
0.012500,43.621954
0.012540,43.414715
0.012580,43.207044
0.012620,42.998945
0.012660,42.790418
0.012700,42.581467
0.012740,42.372092
0.012780,42.162297
0.012820,41.952082
0.012860,41.741452
0.012900,41.530406
0.012940,41.318948
0.012980,41.107079
0.013020,40.894802
0.013060,40.682119
0.013100,40.469032
0.013140,40.255543
0.013180,40.041653
0.013220,39.827367
0.013260,39.612684
0.013300,39.397608
0.013340,39.182141
0.013380,38.966284
0.013420,38.750040
0.013460,38.533412
0.013500,38.316400
0.013540,38.099008
0.013580,37.881238
0.013620,37.663091
0.013660,37.444570
0.013700,37.225677
0.013740,37.006415
0.013780,36.786785
0.013820,36.566789
0.013860,36.346430
0.013900,36.125710
0.013940,35.904631
0.013980,35.683195
0.014020,35.461405
0.014060,35.239263
0.014100,35.016771
0.014140,34.793930
0.014180,34.570745
0.014220,34.347215
0.014260,34.123345
