x (m),T (C)
0.000000,141.277618
0.000020,141.277618
0.000060,141.276250
0.000100,141.273513
0.000140,141.269409
0.000180,141.263936
0.000220,141.257095
0.000260,141.248886
0.000300,141.239308
0.000340,141.228363
0.000380,141.216050
0.000420,141.202370
0.000460,141.187321
0.000500,141.170905
0.000540,141.153122
0.000580,141.133971
0.000620,141.113453
0.000660,141.091568
0.000700,141.068317
0.000740,141.043699
0.000780,141.017714
0.000820,140.990363
0.000860,140.961646
0.000900,140.931563
0.000940,140.900115
0.000980,140.867301
0.001020,140.833122
0.001060,140.797578
0.001100,140.760670
0.001140,140.722397
0.001180,140.682761
0.001220,140.641761
0.001260,140.599397
0.001300,140.555671
0.001340,140.510581
0.001380,140.464130
0.001420,140.416316
0.001460,140.367141
0.001500,140.316604
0.001540,140.264707
0.001580,140.211449
0.001620,140.156832
0.001660,140.100854
0.001700,140.043518
0.001740,139.984822
0.001780,139.924769
0.001820,139.863357
0.001860,139.800588
0.001900,139.736463
0.001940,139.670981
0.001980,139.604143
0.002020,139.535949
0.002060,139.466401
0.002100,139.395499
0.002140,139.323243
0.002180,139.249634
0.002220,139.174672
0.002260,139.098358
0.002300,139.020693
0.002340,138.941677
0.002380,138.861311
0.002420,138.779595
0.002460,138.696530
0.002500,138.612117
0.002540,138.526357
0.002580,138.439249
0.002620,138.350795
0.002660,138.260996
0.002700,138.169852
0.002740,138.077363
0.002780,137.983531
0.002820,137.888356
0.002860,137.791840
0.002900,137.693982
0.002940,137.594783
0.002980,137.494245
0.003020,137.392368
0.003060,137.289153
0.003100,137.184601
0.003140,137.078712
0.003180,136.971488
0.003220,136.862929
0.003260,136.753036
0.003300,136.641809
0.003340,136.529251
0.003380,136.415361
0.003420,136.300141
0.003460,136.183592
0.003500,136.065714
0.003540,135.946508
0.003580,135.825975
0.003620,135.704117
0.003660,135.580934
0.003700,135.456427
0.003740,135.330598
0.003780,135.203446
0.003820,135.074974
0.003860,134.945182
0.003900,134.814071
0.003940,134.681643
0.003980,134.547897
0.004020,134.412837
0.004060,134.276461
0.004100,134.138772
0.004140,133.999771
0.004180,133.859459
0.004220,133.717837
0.004260,133.574905
0.004300,133.430666
0.004340,133.285120
0.004380,133.138269
0.004420,132.990113
0.004460,132.840654
0.004500,132.689894
0.004540,132.537832
0.004580,132.384471
0.004620,132.229812
0.004660,132.073856
0.004700,131.916604
0.004740,131.758057
0.004780,131.598218
0.004820,131.437086
0.004860,131.274664
0.004900,131.110952
0.004940,130.945953
0.004980,130.779667
0.005020,130.612096
0.005060,130.443240
0.005100,130.273102
0.005140,130.101684
0.005180,129.928985
0.005220,129.755008
0.005260,129.579754
0.005300,129.403224
0.005340,129.225421
0.005380,129.046345
0.005420,128.865997
0.005460,128.684380
0.005500,128.501495
0.005540,128.317344
0.005580,128.131927
0.005620,127.945246
0.005660,127.757304
0.005700,127.568101
0.005740,127.377638
0.005780,127.185919
0.005820,126.992944
0.005860,126.798714
0.005900,126.603232
0.005940,126.406499
0.005980,126.208516
0.006020,126.009286
0.006060,125.808810
0.006100,125.607089
0.006140,125.404126
0.006180,125.199922
0.006220,124.994478
0.006260,124.787797
0.006300,124.579879
0.006340,124.370728
0.006380,124.160344
0.006420,123.948730
0.006460,123.735887
0.006500,123.521817
0.006540,123.306521
0.006580,123.090002
0.006620,122.872262
0.006660,122.653301
0.006700,122.433123
0.006740,122.211729
0.006780,121.989120
0.006820,121.765299
0.006860,121.540268
0.006900,121.314028
0.006940,121.086582
0.006980,120.857931
0.007020,120.628077
0.007060,120.397022
0.007100,120.164769
0.007140,119.931319
0.007180,119.696674
0.007220,119.460836
0.007260,119.223807
0.007300,118.985590
0.007340,118.746186
0.007380,118.505597
0.007420,118.263826
0.007460,118.020874
0.007500,117.776744
0.007540,117.531437
0.007580,117.284956
0.007620,117.037303
0.007660,116.788480
0.007700,116.538490
0.007740,116.287334
0.007780,116.035014
0.007820,115.781533
0.007860,115.526893
0.007900,115.271096
0.007940,115.014145
0.007980,114.756041
0.008020,114.496787
0.008060,114.236385
0.008100,113.974838
0.008140,113.712147
0.008180,113.448316
0.008220,113.183346
0.008260,112.917239
0.008300,112.649998
0.008340,112.381626
0.008380,112.112125
0.008420,111.841496
0.008460,111.569743
0.008500,111.296868
0.008540,111.022873
0.008580,110.747761
0.008620,110.471534
0.008660,110.194195
0.008700,109.915746
0.008740,109.636189
0.008780,109.355527
0.008820,109.073763
0.008860,108.790899
0.008900,108.506938
0.008940,108.221881
0.008980,107.935732
0.009020,107.648494
0.009060,107.360168
0.009100,107.070758
0.009140,106.780265
0.009180,106.488694
0.009220,106.196045
0.009260,105.902322
0.009300,105.607528
0.009340,105.311665
0.009380,105.014736
0.009420,104.716743
0.009460,104.417690
0.009500,104.117578
0.009540,103.816411
0.009580,103.514192
0.009620,103.210922
0.009660,102.906606
0.009700,102.601245
0.009740,102.294843
0.009780,101.987402
0.009820,101.678925
0.009860,101.369415
0.009900,101.058875
0.009940,100.747307
0.009980,100.434715
0.010020,100.121101
0.010060,99.806468
0.010100,99.490820
0.010140,99.174158
0.010180,98.856486
0.010220,98.537808
0.010260,98.218125
0.010300,97.897440
0.010340,97.575758
0.010380,97.253080
0.010420,96.929410
0.010460,96.604751
0.010500,96.279105
0.010540,95.952476
0.010580,95.624867
0.010620,95.296281
0.010660,94.966721
0.010700,94.636190
0.010740,94.304691
0.010780,93.972227
0.010820,93.638801
0.010860,93.304417
0.010900,92.969078
0.010940,92.632786
0.010980,92.295545
0.011020,91.957359
0.011060,91.618230
0.011100,91.278161
0.011140,90.937156
0.011180,90.595218
0.011220,90.252350
0.011260,89.908555
0.011300,89.563837
0.011340,89.218199
0.011380,88.871645
0.011420,88.524176
0.011460,88.175798
0.011500,87.826513
0.011540,87.476324
0.011580,87.125236
0.011620,86.773250
0.011660,86.420371
0.011700,86.066602
0.011740,85.711946
0.011780,85.356408
0.011820,84.999989
0.011860,84.642694
0.011900,84.284525
0.011940,83.925488
0.011980,83.565584
0.012020,83.204818
0.012060,82.843192
0.012100,82.480711
0.012140,82.117378
0.012180,81.753196
0.012220,81.388169
0.012260,81.022301
0.012300,80.655594
0.012340,80.288054
0.012380,79.919682
0.012420,79.550483
0.012460,79.180461
0.012500,78.809618
0.012540,78.437959
0.012580,78.065488
0.012620,77.692207
0.012660,77.318120
0.012700,76.943232
0.012740,76.567546
0.012780,76.191065
0.012820,75.813794
0.012860,75.435735
0.012900,75.056893
0.012940,74.677271
0.012980,74.296874
0.013020,73.915704
0.013060,73.533766
0.013100,73.151064
0.013140,72.767600
0.013180,72.383380
0.013220,71.998407
0.013260,71.612684
0.013300,71.226215
0.013340,70.839005
0.013380,70.451057
0.013420,70.062375
0.013460,69.672962
0.013500,69.282824
0.013540,68.891963
0.013580,68.500383
0.013620,68.108089
0.013660,67.715085
0.013700,67.321373
0.013740,66.926959
0.013780,66.531846
0.013820,66.136038
0.013860,65.739539
0.013900,65.342353
0.013940,64.944484
0.013980,64.545936
0.014020,64.146714
0.014060,63.746820
0.014100,63.346259
0.014140,62.945036
0.014180,62.543154
0.014220,62.140617
0.014260,61.737429
0.014300,61.333595
0.014340,60.929118
0.014380,60.524003
0.014420,60.118253
0.014460,59.711873
0.014500,59.304867
0.014540,58.897239
0.014580,58.488994
0.014620,58.080134
0.014660,57.670665
0.014700,57.260591
0.014740,56.849916
0.014780,56.438643
0.014820,56.026778
0.014860,55.614324
0.014900,55.201286
0.014940,54.787668
0.014980,54.373473
0.015020,53.958707
0.015060,53.543374
0.015100,53.127477
0.015140,52.711022
0.015180,52.294012
0.015220,51.876451
0.015260,51.458344
0.015300,51.039696
0.015340,50.620510
0.015380,50.200791
0.015420,49.780543
0.015460,49.359770
0.015500,48.938478
0.015540,48.516669
0.015580,48.094349
0.015620,47.671522
0.015660,47.248192
0.015700,46.824363
0.015740,46.400041
0.015780,45.975229
0.015820,45.549932
0.015860,45.124154
0.015900,44.697900
0.015940,44.271173
0.015980,43.843979
0.016020,43.416322
0.016060,42.988206
0.016100,42.559636
0.016140,42.130617
0.016180,41.701151
0.016220,41.271245
0.016260,40.840903
0.016300,40.410129
0.016340,39.978927
0.016380,39.547303
0.016420,39.115260
0.016460,38.682803
0.016500,38.249937
0.016540,37.816666
0.016580,37.382994
0.016620,36.948927
0.016660,36.514469
0.016700,36.079624
0.016740,35.644396
0.016780,35.208791
0.016820,34.772813
0.016860,34.336467
0.016900,33.899756
0.016940,33.462687
0.016980,33.025262
0.017020,32.587488
0.017060,32.149368
0.017100,31.710907
0.017140,31.272109
0.017180,30.832980
0.017220,30.393524
0.017260,29.953746
0.017300,29.513649
0.017340,29.073239
0.017380,28.632521
0.017420,28.191499
0.017460,27.750177
0.017500,27.308561
0.017540,26.866655
0.017580,26.424464
0.017620,25.981992
0.017660,25.539244
0.017700,25.096224
0.017740,24.652939
0.017780,24.209391
0.017820,23.765586
0.017860,23.321528
0.017900,22.877222
0.017940,22.432674
0.017980,21.987887
0.018020,21.542866
0.018060,21.097616
0.018100,20.652142
0.018140,20.206448
0.018180,19.760539
0.018220,19.314420
0.018260,18.868096
0.018300,18.421571
0.018340,17.974850
0.018380,17.527938
0.018420,17.080840
0.018460,16.633559
0.018500,16.186102
0.018540,15.738472
0.018580,15.290675
0.018620,14.842715
0.018660,14.394598
0.018700,13.946327
0.018740,13.497907
0.018780,13.049344
0.018820,12.600642
0.018860,12.151806
0.018900,11.702841
0.018940,11.253750
0.018980,10.804540
0.019020,10.355215
0.019060,9.905780
0.019100,9.456239
0.019140,9.006598
0.019180,8.556861
0.019220,8.107032
0.019260,7.657117
0.019300,7.207121
0.019340,6.757048
0.019380,6.306903
0.019420,5.856690
0.019460,5.406416
0.019500,4.956084
0.019540,4.505699
0.019580,4.055265
