x (m),T (C)
0.011140,15.606830
0.011180,15.547558
0.011220,15.488132
0.011260,15.428551
0.011300,15.368818
0.011340,15.308932
0.011380,15.248894
0.011420,15.188704
0.011460,15.128364
0.011500,15.067874
0.011540,15.007234
0.011580,14.946444
0.011620,14.885507
0.011660,14.824422
0.011700,14.763189
0.011740,14.701810
0.011780,14.640285
0.011820,14.578615
0.011860,14.516800
0.011900,14.454840
0.011940,14.392737
0.011980,14.330492
0.012020,14.268104
0.012060,14.205574
0.012100,14.142903
0.012140,14.080092
0.012180,14.017141
0.012220,13.954051
0.012260,13.890822
0.012300,13.827456
0.012340,13.763952
0.012380,13.700311
0.012420,13.636535
0.012460,13.572623
0.012500,13.508576
0.012540,13.444395
0.012580,13.380081
0.012620,13.315633
0.012660,13.251054
0.012700,13.186343
0.012740,13.121501
0.012780,13.056529
0.012820,12.991427
0.012860,12.926196
0.012900,12.860837
0.012940,12.795350
0.012980,12.729736
0.013020,12.663996
0.013060,12.598130
0.013100,12.532138
0.013140,12.466023
0.013180,12.399783
0.013220,12.333421
0.013260,12.266936
0.013300,12.200329
0.013340,12.133601
0.013380,12.066753
0.013420,11.999785
0.013460,11.932697
0.013500,11.865492
0.013540,11.798168
0.013580,11.730727
0.013620,11.663170
0.013660,11.595497
0.013700,11.527709
0.013740,11.459806
0.013780,11.391790
0.013820,11.323660
0.013860,11.255418
0.013900,11.187064
0.013940,11.118600
0.013980,11.050024
0.014020,10.981339
0.014060,10.912545
0.014100,10.843643
0.014140,10.774633
0.014180,10.705516
0.014220,10.636293
0.014260,10.566964
0.014300,10.497530
0.014340,10.427992
0.014380,10.358351
0.014420,10.288606
0.014460,10.218760
0.014500,10.148812
0.014540,10.078763
0.014580,10.008614
0.014620,9.938366
0.014660,9.868019
0.014700,9.797574
0.014740,9.727032
0.014780,9.656393
0.014820,9.585659
0.014860,9.514829
0.014900,9.443904
0.014940,9.372886
0.014980,9.301775
0.015020,9.230572
0.015060,9.159277
0.015100,9.087891
0.015140,9.016414
0.015180,8.944848
0.015220,8.873194
0.015260,8.801451
0.015300,8.729621
0.015340,8.657704
0.015380,8.585701
0.015420,8.513613
0.015460,8.441441
0.015500,8.369184
0.015540,8.296845
0.015580,8.224423
0.015620,8.151919
0.015660,8.079335
0.015700,8.006670
0.015740,7.933926
0.015780,7.861103
0.015820,7.788202
