x (m),T (C)
0.000000,7.563495
0.000020,7.563495
0.000060,7.563419
0.000100,7.563269
0.000140,7.563044
0.000180,7.562744
0.000220,7.562368
0.000260,7.561917
0.000300,7.561392
0.000340,7.560791
0.000380,7.560115
0.000420,7.559364
0.000460,7.558539
0.000500,7.557638
0.000540,7.556662
0.000580,7.555611
0.000620,7.554484
0.000660,7.553283
0.000700,7.552007
0.000740,7.550656
0.000780,7.549230
0.000820,7.547729
0.000860,7.546153
0.000900,7.544502
0.000940,7.542777
0.000980,7.540976
0.001020,7.539101
0.001060,7.537150
0.001100,7.535125
0.001140,7.533025
0.001180,7.530850
0.001220,7.528600
0.001260,7.526276
0.001300,7.523877
0.001340,7.521403
0.001380,7.518855
0.001420,7.516232
0.001460,7.513534
0.001500,7.510762
0.001540,7.507915
0.001580,7.504993
0.001620,7.501997
0.001660,7.498927
0.001700,7.495782
0.001740,7.492562
0.001780,7.489269
0.001820,7.485900
0.001860,7.482458
0.001900,7.478941
0.001940,7.475350
0.001980,7.471685
0.002020,7.467946
0.002060,7.464132
0.002100,7.460244
0.002140,7.456283
0.002180,7.452247
0.002220,7.448137
0.002260,7.443953
0.002300,7.439696
0.002340,7.435364
0.002380,7.430959
0.002420,7.426480
0.002460,7.421927
0.002500,7.417300
0.002540,7.412600
0.002580,7.407826
0.002620,7.402979
0.002660,7.398058
0.002700,7.393064
0.002740,7.387996
0.002780,7.382855
0.002820,7.377640
0.002860,7.372353
0.002900,7.366992
0.002940,7.361558
0.002980,7.356051
0.003020,7.350471
0.003060,7.344818
0.003100,7.339092
0.003140,7.333293
0.003180,7.327421
0.003220,7.321477
0.003260,7.315459
0.003300,7.309370
0.003340,7.303207
0.003380,7.296972
0.003420,7.290665
0.003460,7.284285
0.003500,7.277833
0.003540,7.271309
0.003580,7.264712
0.003620,7.258044
0.003660,7.251303
0.003700,7.244490
0.003740,7.237606
0.003780,7.230649
0.003820,7.223621
0.003860,7.216521
0.003900,7.209349
0.003940,7.202106
0.003980,7.194791
0.004020,7.187405
0.004060,7.179947
0.004100,7.172419
0.004140,7.164818
0.004180,7.157147
0.004220,7.149405
0.004260,7.141592
0.004300,7.133708
0.004340,7.125753
0.004380,7.117727
0.004420,7.109630
0.004460,7.101463
0.004500,7.093226
0.004540,7.084918
0.004580,7.076539
0.004620,7.068091
0.004660,7.059572
0.004700,7.050983
0.004740,7.042324
0.004780,7.033596
0.004820,7.024797
0.004860,7.015929
0.004900,7.006991
0.004940,6.997983
0.004980,6.988906
0.005020,6.979759
0.005060,6.970544
0.005100,6.961259
0.005140,6.951905
0.005180,6.942481
0.005220,6.932989
0.005260,6.923428
0.005300,6.913799
0.005340,6.904100
0.005380,6.894334
0.005420,6.884498
0.005460,6.874595
0.005500,6.864623
0.005540,6.854583
0.005580,6.844475
0.005620,6.834298
0.005660,6.824054
0.005700,6.813743
0.005740,6.803363
0.005780,6.792916
0.005820,6.782402
0.005860,6.771820
0.005900,6.761171
0.005940,6.750455
0.005980,6.739672
0.006020,6.728822
0.006060,6.717905
