x (m),T (C)
0.000000,2.342333
0.000020,2.342333
0.000060,2.342310
0.000100,2.342264
0.000140,2.342194
0.000180,2.342101
0.000220,2.341985
0.000260,2.341845
0.000300,2.341682
0.000340,2.341496
0.000380,2.341287
0.000420,2.341054
0.000460,2.340799
0.000500,2.340520
0.000540,2.340217
0.000580,2.339892
0.000620,2.339543
0.000660,2.339171
0.000700,2.338776
0.000740,2.338357
0.000780,2.337916
0.000820,2.337451
0.000860,2.336963
0.000900,2.336452
0.000940,2.335917
0.000980,2.335360
0.001020,2.334779
0.001060,2.334175
0.001100,2.333548
0.001140,2.332897
0.001180,2.332224
0.001220,2.331527
0.001260,2.330807
0.001300,2.330064
0.001340,2.329298
0.001380,2.328509
0.001420,2.327697
0.001460,2.326861
0.001500,2.326003
0.001540,2.325121
0.001580,2.324216
0.001620,2.323288
0.001660,2.322337
0.001700,2.321363
0.001740,2.320366
0.001780,2.319346
0.001820,2.318303
0.001860,2.317237
0.001900,2.316148
0.001940,2.315036
0.001980,2.313901
0.002020,2.312743
0.002060,2.311562
0.002100,2.310358
0.002140,2.309131
0.002180,2.307881
0.002220,2.306608
0.002260,2.305313
0.002300,2.303994
0.002340,2.302653
0.002380,2.301288
0.002420,2.299901
0.002460,2.298491
0.002500,2.297059
0.002540,2.295603
0.002580,2.294125
0.002620,2.292623
0.002660,2.291099
0.002700,2.289553
0.002740,2.287983
0.002780,2.286391
0.002820,2.284776
0.002860,2.283139
0.002900,2.281479
0.002940,2.279796
0.002980,2.278090
0.003020,2.276362
0.003060,2.274611
0.003100,2.272838
0.003140,2.271042
0.003180,2.269224
0.003220,2.267383
0.003260,2.265520
0.003300,2.263634
0.003340,2.261725
0.003380,2.259794
0.003420,2.257841
0.003460,2.255865
0.003500,2.253867
0.003540,2.251847
0.003580,2.249804
0.003620,2.247739
0.003660,2.245651
0.003700,2.243541
0.003740,2.241409
0.003780,2.239255
0.003820,2.237078
0.003860,2.234879
0.003900,2.232658
0.003940,2.230415
0.003980,2.228150
0.004020,2.225862
0.004060,2.223553
0.004100,2.221221
0.004140,2.218868
0.004180,2.216492
0.004220,2.214094
0.004260,2.211675
0.004300,2.209233
0.004340,2.206769
0.004380,2.204284
0.004420,2.201776
0.004460,2.199247
0.004500,2.196696
0.004540,2.194123
0.004580,2.191529
0.004620,2.188912
0.004660,2.186274
0.004700,2.183614
0.004740,2.180933
0.004780,2.178229
0.004820,2.175505
0.004860,2.172758
0.004900,2.169990
0.004940,2.167201
0.004980,2.164389
0.005020,2.161557
0.005060,2.158703
0.005100,2.155827
0.005140,2.152931
0.005180,2.150012
0.005220,2.147073
0.005260,2.144112
0.005300,2.141130
0.005340,2.138126
0.005380,2.135101
0.005420,2.132056
0.005460,2.128988
0.005500,2.125900
0.005540,2.122791
0.005580,2.119661
0.005620,2.116509
0.005660,2.113337
0.005700,2.110143
0.005740,2.106929
0.005780,2.103694
0.005820,2.100437
0.005860,2.097160
0.005900,2.093862
0.005940,2.090544
0.005980,2.087204
0.006020,2.083844
0.006060,2.080463
0.006100,2.077062
0.006140,2.073640
0.006180,2.070197
0.006220,2.066734
0.006260,2.063250
0.006300,2.059746
0.006340,2.056221
0.006380,2.052676
0.006420,2.049111
0.006460,2.045525
0.006500,2.041918
0.006540,2.038292
0.006580,2.034645
0.006620,2.030979
0.006660,2.027291
0.006700,2.023584
0.006740,2.019857
0.006780,2.016110
0.006820,2.012342
0.006860,2.008555
0.006900,2.004748
0.006940,2.000921
0.006980,1.997074
0.007020,1.993207
0.007060,1.989320
0.007100,1.985414
0.007140,1.981488
0.007180,1.977542
0.007220,1.973576
0.007260,1.969591
0.007300,1.965587
0.007340,1.961563
0.007380,1.957519
0.007420,1.953456
0.007460,1.949374
0.007500,1.945272
0.007540,1.941151
0.007580,1.937010
0.007620,1.932851
0.007660,1.928672
0.007700,1.924474
0.007740,1.920257
0.007780,1.916021
0.007820,1.911766
0.007860,1.907492
0.007900,1.903199
0.007940,1.898887
0.007980,1.894556
0.008020,1.890206
0.008060,1.885838
0.008100,1.881451
0.008140,1.877045
0.008180,1.872621
0.008220,1.868178
0.008260,1.863716
0.008300,1.859236
0.008340,1.854737
0.008380,1.850220
0.008420,1.845685
0.008460,1.841132
0.008500,1.836560
0.008540,1.831969
0.008580,1.827361
0.008620,1.822735
0.008660,1.818090
0.008700,1.813427
0.008740,1.808747
0.008780,1.804048
0.008820,1.799332
0.008860,1.794597
0.008900,1.789845
0.008940,1.785075
0.008980,1.780287
0.009020,1.775482
0.009060,1.770659
0.009100,1.765818
0.009140,1.760960
