x (m),T (C)
0.000000,1.303502
0.000020,1.303502
0.000060,1.303489
0.000100,1.303463
0.000140,1.303425
0.000180,1.303373
0.000220,1.303308
0.000260,1.303231
0.000300,1.303140
0.000340,1.303036
0.000380,1.302920
0.000420,1.302791
0.000460,1.302648
0.000500,1.302493
0.000540,1.302325
0.000580,1.302144
0.000620,1.301950
0.000660,1.301743
0.000700,1.301523
0.000740,1.301290
0.000780,1.301044
0.000820,1.300785
0.000860,1.300514
0.000900,1.300229
0.000940,1.299932
0.000980,1.299621
0.001020,1.299298
0.001060,1.298962
0.001100,1.298613
0.001140,1.298251
0.001180,1.297876
0.001220,1.297489
0.001260,1.297088
0.001300,1.296675
0.001340,1.296248
0.001380,1.295809
0.001420,1.295357
0.001460,1.294892
0.001500,1.294414
0.001540,1.293924
0.001580,1.293420
0.001620,1.292904
0.001660,1.292375
0.001700,1.291833
0.001740,1.291278
0.001780,1.290710
0.001820,1.290130
0.001860,1.289536
0.001900,1.288930
0.001940,1.288311
0.001980,1.287680
0.002020,1.287035
0.002060,1.286378
0.002100,1.285708
0.002140,1.285025
0.002180,1.284330
0.002220,1.283621
0.002260,1.282900
0.002300,1.282167
0.002340,1.281420
0.002380,1.280661
0.002420,1.279889
0.002460,1.279104
0.002500,1.278307
0.002540,1.277497
0.002580,1.276674
0.002620,1.275839
0.002660,1.274991
0.002700,1.274130
0.002740,1.273257
0.002780,1.272371
0.002820,1.271472
0.002860,1.270561
0.002900,1.269637
0.002940,1.268700
0.002980,1.267751
0.003020,1.266790
0.003060,1.265815
0.003100,1.264828
0.003140,1.263829
0.003180,1.262817
0.003220,1.261793
0.003260,1.260756
0.003300,1.259706
0.003340,1.258644
0.003380,1.257570
0.003420,1.256483
0.003460,1.255383
0.003500,1.254271
0.003540,1.253147
0.003580,1.252010
0.003620,1.250861
0.003660,1.249699
0.003700,1.248525
0.003740,1.247338
0.003780,1.246139
0.003820,1.244928
0.003860,1.243704
0.003900,1.242468
0.003940,1.241220
0.003980,1.239960
0.004020,1.238687
0.004060,1.237401
0.004100,1.236104
0.004140,1.234794
0.004180,1.233472
0.004220,1.232138
0.004260,1.230791
0.004300,1.229432
0.004340,1.228061
0.004380,1.226678
0.004420,1.225283
0.004460,1.223875
0.004500,1.222456
0.004540,1.221024
0.004580,1.219580
0.004620,1.218124
0.004660,1.216656
0.004700,1.215175
0.004740,1.213683
0.004780,1.212179
0.004820,1.210663
0.004860,1.209134
0.004900,1.207594
0.004940,1.206041
0.004980,1.204477
0.005020,1.202901
0.005060,1.201312
0.005100,1.199712
0.005140,1.198100
0.005180,1.196476
0.005220,1.194840
0.005260,1.193193
0.005300,1.191533
0.005340,1.189862
0.005380,1.188178
0.005420,1.186483
0.005460,1.184776
0.005500,1.183058
0.005540,1.181328
0.005580,1.179585
0.005620,1.177832
0.005660,1.176066
0.005700,1.174289
0.005740,1.172500
0.005780,1.170700
0.005820,1.168888
0.005860,1.167064
0.005900,1.165229
0.005940,1.163382
0.005980,1.161524
0.006020,1.159654
0.006060,1.157772
0.006100,1.155879
0.006140,1.153975
0.006180,1.152059
0.006220,1.150132
0.006260,1.148193
0.006300,1.146243
0.006340,1.144282
0.006380,1.142309
0.006420,1.140325
0.006460,1.138329
0.006500,1.136322
0.006540,1.134304
0.006580,1.132275
0.006620,1.130234
0.006660,1.128182
0.006700,1.126119
0.006740,1.124045
0.006780,1.121960
0.006820,1.119863
0.006860,1.117756
0.006900,1.115637
0.006940,1.113507
0.006980,1.111366
0.007020,1.109214
0.007060,1.107051
0.007100,1.104877
0.007140,1.102693
0.007180,1.100497
0.007220,1.098290
0.007260,1.096072
